Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ena_first_public,ENA-LAST-UPDATE (run),ena_last_update,Experiment,external_id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_name,SRA_accession,SRA Study,Submitter_Id,Title
ERR4238045,AMPLICON,610,531379540,PRJEB38839,SAMEA6943324,328677599,KAROLINSKA INSTITUTET,Rhesus monkey,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-27,2021-01-27,2020-06-22,2020-06-12,ERX4196839,SAMEA6943324,KAROLINSKA INSTITUTET,KAROLINSKA INSTITUTET,2021-01-27T11:02:00Z,2020-06-12T13:20:18Z,public,Illumina MiSeq,A5 UPSTREAM,PAIRED,RT-PCR,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2021-02-01T00:00:00Z,SAMEA6943324,A5,ERS4653211,ERP122291,A5,Rhesus Indian IgM
ERR4238046,AMPLICON,610,534635720,PRJEB38839,SAMEA6943339,297747977,KAROLINSKA INSTITUTET,crab-eating macaque,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-27,2021-01-27,2020-06-22,2020-06-12,ERX4196840,SAMEA6943339,KAROLINSKA INSTITUTET,KAROLINSKA INSTITUTET,2021-01-27T11:02:00Z,2020-06-12T13:34:26Z,public,Illumina MiSeq,Cy1 LEADER,PAIRED,RT-PCR,TRANSCRIPTOMIC,Macaca fascicularis,ILLUMINA,2021-02-01T00:00:00Z,SAMEA6943339,Cy1,ERS4653226,ERP122291,Cy1,Cynomolgus Mauritius
ERR4238048,AMPLICON,610,669220020,PRJEB38839,SAMEA6943348,399059201,KAROLINSKA INSTITUTET,crab-eating macaque,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-27,2021-01-27,2020-06-22,2020-06-12,ERX4196842,SAMEA6943348,KAROLINSKA INSTITUTET,KAROLINSKA INSTITUTET,2021-01-27T11:02:00Z,2020-06-12T13:34:26Z,public,Illumina MiSeq,Cy10 LEADER,PAIRED,RT-PCR,TRANSCRIPTOMIC,Macaca fascicularis,ILLUMINA,2021-02-01T00:00:00Z,SAMEA6943348,Cy10,ERS4653235,ERP122291,Cy10,Cynomolgus Mauritius
ERR4238049,AMPLICON,610,642821660,PRJEB38839,SAMEA6943348,388272670,KAROLINSKA INSTITUTET,crab-eating macaque,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-27,2021-01-27,2020-06-22,2020-06-12,ERX4196843,SAMEA6943348,KAROLINSKA INSTITUTET,KAROLINSKA INSTITUTET,2021-01-27T11:02:00Z,2020-06-12T13:34:26Z,public,Illumina MiSeq,Cy10 UPSTREAM,PAIRED,RT-PCR,TRANSCRIPTOMIC,Macaca fascicularis,ILLUMINA,2021-02-01T00:00:00Z,SAMEA6943348,Cy10,ERS4653235,ERP122291,Cy10,Cynomolgus Mauritius
ERR4238052,AMPLICON,610,485074440,PRJEB38839,SAMEA6943350,276567203,KAROLINSKA INSTITUTET,crab-eating macaque,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-27,2021-01-27,2020-06-22,2020-06-12,ERX4196846,SAMEA6943350,KAROLINSKA INSTITUTET,KAROLINSKA INSTITUTET,2021-01-27T11:02:00Z,2020-06-12T13:34:26Z,public,Illumina MiSeq,Cy12 LEADER,PAIRED,RT-PCR,TRANSCRIPTOMIC,Macaca fascicularis,ILLUMINA,2021-02-01T00:00:00Z,SAMEA6943350,Cy12,ERS4653237,ERP122291,Cy12,Cynomolgus Mauritius
ERR4238057,AMPLICON,610,627424650,PRJEB38839,SAMEA6943341,349269444,KAROLINSKA INSTITUTET,crab-eating macaque,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-27,2021-01-27,2020-06-22,2020-06-12,ERX4196851,SAMEA6943341,KAROLINSKA INSTITUTET,KAROLINSKA INSTITUTET,2021-01-27T11:02:00Z,2020-06-12T13:34:26Z,public,Illumina MiSeq,Cy3 UPSTREAM,PAIRED,RT-PCR,TRANSCRIPTOMIC,Macaca fascicularis,ILLUMINA,2021-02-01T00:00:00Z,SAMEA6943341,Cy3,ERS4653228,ERP122291,Cy3,Cynomolgus Mauritius
ERR4238058,AMPLICON,610,559197980,PRJEB38839,SAMEA6943342,313079753,KAROLINSKA INSTITUTET,crab-eating macaque,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-27,2021-01-27,2020-06-22,2020-06-12,ERX4196852,SAMEA6943342,KAROLINSKA INSTITUTET,KAROLINSKA INSTITUTET,2021-01-27T11:02:00Z,2020-06-12T13:34:26Z,public,Illumina MiSeq,Cy4 LEADER,PAIRED,RT-PCR,TRANSCRIPTOMIC,Macaca fascicularis,ILLUMINA,2021-02-01T00:00:00Z,SAMEA6943342,Cy4,ERS4653229,ERP122291,Cy4,Cynomolgus Mauritius
ERR4238059,AMPLICON,610,550914790,PRJEB38839,SAMEA6943342,311878234,KAROLINSKA INSTITUTET,crab-eating macaque,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-27,2021-01-27,2020-06-22,2020-06-12,ERX4196853,SAMEA6943342,KAROLINSKA INSTITUTET,KAROLINSKA INSTITUTET,2021-01-27T11:02:00Z,2020-06-12T13:34:26Z,public,Illumina MiSeq,Cy4 UPSTREAM,PAIRED,RT-PCR,TRANSCRIPTOMIC,Macaca fascicularis,ILLUMINA,2021-02-01T00:00:00Z,SAMEA6943342,Cy4,ERS4653229,ERP122291,Cy4,Cynomolgus Mauritius
ERR4238060,AMPLICON,610,626449260,PRJEB38839,SAMEA6943343,358630836,KAROLINSKA INSTITUTET,crab-eating macaque,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-27,2021-01-27,2020-06-22,2020-06-12,ERX4196854,SAMEA6943343,KAROLINSKA INSTITUTET,KAROLINSKA INSTITUTET,2021-01-27T11:02:00Z,2020-06-12T13:34:26Z,public,Illumina MiSeq,Cy5 LEADER,PAIRED,RT-PCR,TRANSCRIPTOMIC,Macaca fascicularis,ILLUMINA,2021-02-01T00:00:00Z,SAMEA6943343,Cy5,ERS4653230,ERP122291,Cy5,Cynomolgus Mauritius
ERR4238063,AMPLICON,610,628511670,PRJEB38839,SAMEA6943344,353554960,KAROLINSKA INSTITUTET,crab-eating macaque,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-27,2021-01-27,2020-06-22,2020-06-12,ERX4196857,SAMEA6943344,KAROLINSKA INSTITUTET,KAROLINSKA INSTITUTET,2021-01-27T11:02:00Z,2020-06-12T13:34:26Z,public,Illumina MiSeq,Cy6 UPSTREAM,PAIRED,RT-PCR,TRANSCRIPTOMIC,Macaca fascicularis,ILLUMINA,2021-02-01T00:00:00Z,SAMEA6943344,Cy6,ERS4653231,ERP122291,Cy6,Cynomolgus Mauritius
ERR4238064,AMPLICON,610,649773220,PRJEB38839,SAMEA6943345,363067150,KAROLINSKA INSTITUTET,crab-eating macaque,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-27,2021-01-27,2020-06-22,2020-06-12,ERX4196858,SAMEA6943345,KAROLINSKA INSTITUTET,KAROLINSKA INSTITUTET,2021-01-27T11:02:00Z,2020-06-12T13:34:26Z,public,Illumina MiSeq,Cy7 LEADER,PAIRED,RT-PCR,TRANSCRIPTOMIC,Macaca fascicularis,ILLUMINA,2021-02-01T00:00:00Z,SAMEA6943345,Cy7,ERS4653232,ERP122291,Cy7,Cynomolgus Mauritius
ERR4238067,AMPLICON,610,370596350,PRJEB38839,SAMEA6943346,220777973,KAROLINSKA INSTITUTET,crab-eating macaque,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-27,2021-01-27,2020-06-22,2020-06-12,ERX4196861,SAMEA6943346,KAROLINSKA INSTITUTET,KAROLINSKA INSTITUTET,2021-01-27T11:02:00Z,2020-06-12T13:34:26Z,public,Illumina MiSeq,Cy8 UPSTREAM,PAIRED,RT-PCR,TRANSCRIPTOMIC,Macaca fascicularis,ILLUMINA,2021-02-01T00:00:00Z,SAMEA6943346,Cy8,ERS4653233,ERP122291,Cy8,Cynomolgus Mauritius
ERR4238070,AMPLICON,610,408019850,PRJEB38839,SAMEA6943331,245784209,KAROLINSKA INSTITUTET,Rhesus monkey,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-27,2021-01-27,2020-06-24,2020-06-12,ERX4196864,SAMEA6943331,KAROLINSKA INSTITUTET,KAROLINSKA INSTITUTET,2021-01-27T11:02:00Z,2020-06-12T13:20:18Z,public,Illumina MiSeq,D11 LEADER,PAIRED,RT-PCR,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2021-02-01T00:00:00Z,SAMEA6943331,D11,ERS4653218,ERP122291,D11,Rhesus Chinese IgM
ERR4238074,AMPLICON,610,559412090,PRJEB38839,SAMEA6943333,315216527,KAROLINSKA INSTITUTET,Rhesus monkey,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-27,2021-01-27,2020-06-22,2020-06-12,ERX4196868,SAMEA6943333,KAROLINSKA INSTITUTET,KAROLINSKA INSTITUTET,2021-01-27T11:02:00Z,2020-06-12T13:20:18Z,public,Illumina MiSeq,D16 LEADER,PAIRED,RT-PCR,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2021-02-01T00:00:00Z,SAMEA6943333,D16,ERS4653220,ERP122291,D16,Rhesus Chinese IgM
ERR4238075,AMPLICON,610,543541720,PRJEB38839,SAMEA6943333,306248762,KAROLINSKA INSTITUTET,Rhesus monkey,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-27,2021-01-27,2020-06-22,2020-06-12,ERX4196869,SAMEA6943333,KAROLINSKA INSTITUTET,KAROLINSKA INSTITUTET,2021-01-27T11:02:00Z,2020-06-12T13:20:18Z,public,Illumina MiSeq,D16 UPSTREAM,PAIRED,RT-PCR,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2021-02-01T00:00:00Z,SAMEA6943333,D16,ERS4653220,ERP122291,D16,Rhesus Chinese IgM
ERR4238076,AMPLICON,610,590458040,PRJEB38839,SAMEA6943334,329337849,KAROLINSKA INSTITUTET,Rhesus monkey,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-27,2021-01-27,2020-06-22,2020-06-12,ERX4196870,SAMEA6943334,KAROLINSKA INSTITUTET,KAROLINSKA INSTITUTET,2021-01-27T11:02:00Z,2020-06-12T13:20:18Z,public,Illumina MiSeq,D19 LEADER,PAIRED,RT-PCR,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2021-02-01T00:00:00Z,SAMEA6943334,D19,ERS4653221,ERP122291,D19,Rhesus Chinese IgM
ERR4238077,AMPLICON,610,625443980,PRJEB38839,SAMEA6943334,351491785,KAROLINSKA INSTITUTET,Rhesus monkey,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-27,2021-01-27,2020-06-22,2020-06-12,ERX4196871,SAMEA6943334,KAROLINSKA INSTITUTET,KAROLINSKA INSTITUTET,2021-01-27T11:02:00Z,2020-06-12T13:20:18Z,public,Illumina MiSeq,D19 UPSTREAM,PAIRED,RT-PCR,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2021-02-01T00:00:00Z,SAMEA6943334,D19,ERS4653221,ERP122291,D19,Rhesus Chinese IgM
ERR4238078,AMPLICON,610,391872540,PRJEB38839,SAMEA6943335,219390358,KAROLINSKA INSTITUTET,Rhesus monkey,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-27,2021-01-27,2020-06-24,2020-06-12,ERX4196872,SAMEA6943335,KAROLINSKA INSTITUTET,KAROLINSKA INSTITUTET,2021-01-27T11:02:00Z,2020-06-12T13:20:18Z,public,Illumina MiSeq,D7 LEADER,PAIRED,RT-PCR,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2021-02-01T00:00:00Z,SAMEA6943335,D7,ERS4653222,ERP122291,D7,Rhesus Chinese IgM
ERR4238079,AMPLICON,610,307206980,PRJEB38839,SAMEA6943335,179789421,KAROLINSKA INSTITUTET,Rhesus monkey,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-27,2021-01-27,2020-06-24,2020-06-12,ERX4196873,SAMEA6943335,KAROLINSKA INSTITUTET,KAROLINSKA INSTITUTET,2021-01-27T11:02:00Z,2020-06-12T13:20:18Z,public,Illumina MiSeq,D7 UPSTREAM,PAIRED,RT-PCR,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2021-02-01T00:00:00Z,SAMEA6943335,D7,ERS4653222,ERP122291,D7,Rhesus Chinese IgM
ERR4238080,AMPLICON,610,484099050,PRJEB38839,SAMEA6943336,273493554,KAROLINSKA INSTITUTET,Rhesus monkey,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-27,2021-01-27,2020-06-22,2020-06-12,ERX4196874,SAMEA6943336,KAROLINSKA INSTITUTET,KAROLINSKA INSTITUTET,2021-01-27T11:02:00Z,2020-06-12T13:20:18Z,public,Illumina MiSeq,D8 LEADER,PAIRED,RT-PCR,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2021-02-01T00:00:00Z,SAMEA6943336,D8,ERS4653223,ERP122291,D8,Rhesus Chinese IgM
ERR4238081,AMPLICON,610,425032750,PRJEB38839,SAMEA6943336,248526652,KAROLINSKA INSTITUTET,Rhesus monkey,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-27,2021-01-27,2020-06-22,2020-06-12,ERX4196875,SAMEA6943336,KAROLINSKA INSTITUTET,KAROLINSKA INSTITUTET,2021-01-27T11:02:00Z,2020-06-12T13:20:18Z,public,Illumina MiSeq,D8 UPSTREAM,PAIRED,RT-PCR,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2021-02-01T00:00:00Z,SAMEA6943336,D8,ERS4653223,ERP122291,D8,Rhesus Chinese IgM
ERR4238082,AMPLICON,610,518676290,PRJEB38839,SAMEA6943310,293915085,KAROLINSKA INSTITUTET,Rhesus monkey,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-27,2021-01-27,2020-06-22,2020-06-12,ERX4196876,SAMEA6943310,KAROLINSKA INSTITUTET,KAROLINSKA INSTITUTET,2021-01-27T11:02:00Z,2020-06-12T13:20:18Z,public,Illumina MiSeq,E01 LEADER,PAIRED,RT-PCR,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2021-02-01T00:00:00Z,SAMEA6943310,E01,ERS4653197,ERP122291,E01,Rhesus Indian IgM
ERR4238083,AMPLICON,610,534695500,PRJEB38839,SAMEA6943310,310813030,KAROLINSKA INSTITUTET,Rhesus monkey,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-27,2021-01-27,2020-06-22,2020-06-12,ERX4196877,SAMEA6943310,KAROLINSKA INSTITUTET,KAROLINSKA INSTITUTET,2021-01-27T11:02:00Z,2020-06-12T13:20:18Z,public,Illumina MiSeq,E01 UPSTREAM,PAIRED,RT-PCR,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2021-02-01T00:00:00Z,SAMEA6943310,E01,ERS4653197,ERP122291,E01,Rhesus Indian IgM
ERR4238084,AMPLICON,610,491118320,PRJEB38839,SAMEA6943311,269881732,KAROLINSKA INSTITUTET,Rhesus monkey,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-27,2021-01-27,2020-06-22,2020-06-12,ERX4196878,SAMEA6943311,KAROLINSKA INSTITUTET,KAROLINSKA INSTITUTET,2021-01-27T11:02:00Z,2020-06-12T13:20:18Z,public,Illumina MiSeq,E02 LEADER,PAIRED,RT-PCR,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2021-02-01T00:00:00Z,SAMEA6943311,E02,ERS4653198,ERP122291,E02,Rhesus Indian IgM
ERR4238085,AMPLICON,610,475177190,PRJEB38839,SAMEA6943311,269861174,KAROLINSKA INSTITUTET,Rhesus monkey,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-27,2021-01-27,2020-06-22,2020-06-12,ERX4196879,SAMEA6943311,KAROLINSKA INSTITUTET,KAROLINSKA INSTITUTET,2021-01-27T11:02:00Z,2020-06-12T13:20:18Z,public,Illumina MiSeq,E02 UPSTREAM,PAIRED,RT-PCR,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2021-02-01T00:00:00Z,SAMEA6943311,E02,ERS4653198,ERP122291,E02,Rhesus Indian IgM
ERR4238088,AMPLICON,610,539021620,PRJEB38839,SAMEA6943315,298323173,KAROLINSKA INSTITUTET,Rhesus monkey,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-27,2021-01-27,2020-06-22,2020-06-12,ERX4196882,SAMEA6943315,KAROLINSKA INSTITUTET,KAROLINSKA INSTITUTET,2021-01-27T11:02:00Z,2020-06-12T13:20:18Z,public,Illumina MiSeq,E06 LEADER,PAIRED,RT-PCR,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2021-02-01T00:00:00Z,SAMEA6943315,E06,ERS4653202,ERP122291,E06,Rhesus Indian IgM
ERR4238089,AMPLICON,610,469664620,PRJEB38839,SAMEA6943315,266897399,KAROLINSKA INSTITUTET,Rhesus monkey,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-27,2021-01-27,2020-06-24,2020-06-12,ERX4196883,SAMEA6943315,KAROLINSKA INSTITUTET,KAROLINSKA INSTITUTET,2021-01-27T11:02:00Z,2020-06-12T13:20:18Z,public,Illumina MiSeq,E06 UPSTREAM,PAIRED,RT-PCR,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2021-02-01T00:00:00Z,SAMEA6943315,E06,ERS4653202,ERP122291,E06,Rhesus Indian IgM
ERR4238090,AMPLICON,610,500983240,PRJEB38839,SAMEA6943316,278465616,KAROLINSKA INSTITUTET,Rhesus monkey,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-27,2021-01-27,2020-06-24,2020-06-12,ERX4196884,SAMEA6943316,KAROLINSKA INSTITUTET,KAROLINSKA INSTITUTET,2021-01-27T11:02:00Z,2020-06-12T13:20:18Z,public,Illumina MiSeq,E07 LEADER,PAIRED,RT-PCR,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2021-02-01T00:00:00Z,SAMEA6943316,E07,ERS4653203,ERP122291,E07,Rhesus Indian IgM
ERR4238093,AMPLICON,610,441645490,PRJEB38839,SAMEA6943317,261632247,KAROLINSKA INSTITUTET,Rhesus monkey,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-01-27,2021-01-27,2020-06-24,2020-06-12,ERX4196887,SAMEA6943317,KAROLINSKA INSTITUTET,KAROLINSKA INSTITUTET,2021-01-27T11:02:00Z,2020-06-12T13:20:18Z,public,Illumina MiSeq,E08 UPSTREAM,PAIRED,RT-PCR,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2021-02-01T00:00:00Z,SAMEA6943317,E08,ERS4653204,ERP122291,E08,Rhesus Indian IgM
